timestamp,cpu,mem
18:52:38,159.43%,59.89MiB / 7.755GiB
18:52:40,72.30%,289.6MiB / 7.755GiB
18:52:42,74.48%,370.6MiB / 7.755GiB
18:52:44,81.60%,479MiB / 7.755GiB
18:52:46,1.25%,486.1MiB / 7.755GiB
18:52:49,1.26%,488.6MiB / 7.755GiB
18:52:51,293.69%,529.4MiB / 7.755GiB
18:52:53,153.77%,528.9MiB / 7.755GiB
18:52:55,0.18%,528.5MiB / 7.755GiB
18:52:57,0.22%,528.2MiB / 7.755GiB
18:53:00,0.25%,528.2MiB / 7.755GiB
18:53:02,0.19%,528.2MiB / 7.755GiB
18:53:03,0.21%,528.7MiB / 7.755GiB
18:53:05,0.24%,528.2MiB / 7.755GiB
